DYRK1A_N,ITSN1_N,pBRAF_N,pCAMKII_N,pERK_N,pMEK_N,pNR2A_N,pPKCAB_N,GSK3B_N,APP_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,pNUMB_N,RAPTOR_N,pP70S6_N,NUMB_N,pGSK3B_N,pPKCG_N,S6_N,AcetylH3K9_N,ARC_N,nNOS_N,Tau_N,IL1B_N,PSD95_N,SNCA_N,Ubiquitin_N,pS6_N,CaNA_N,Genotype
0.503643884,0.747193224,0.177565491,2.373744337,0.687906244,0.296927319,0.605672641,2.308745322,1.537226709,0.453909789,0.369509553,0.458538507,0.335335828,0.825192043,0.394721292,0.339570613,0.294169785,0.182150472,0.192608387,1.443090669,0.354604528,0.170118794,0.106305209,0.176667682,0.125190375,0.430957458,2.014874607,0.108234339,1.044979186,0.106305209,1.67565235,0
0.51461708,0.689063548,0.172817023,2.292149909,0.69500623,0.281318892,0.587558708,2.043036519,1.509249497,0.430940286,0.342279306,0.423559858,0.324834659,0.761717627,0.368254577,0.321959168,0.276430557,0.182086309,0.194815275,1.439459795,0.354548277,0.171427093,0.106592156,0.178309014,0.13427507,0.457156163,2.004605195,0.109748525,1.009883059,0.106592156,1.743609645,0
0.509183088,0.730246795,0.175722212,2.283336522,0.677348383,0.28171035,0.602448823,2.017983547,1.501243543,0.423187297,0.343696193,0.425004783,0.324851731,0.757030802,0.363879855,0.3130859,0.256648173,0.18438769,0.200737337,1.52436418,0.386086771,0.185456294,0.108303056,0.176212866,0.132560376,0.510472323,2.016830519,0.108196196,0.996847617,0.108303056,1.926426587,0
0.442106692,0.61707615,0.176462604,2.152300801,0.583276775,0.313831953,0.520293199,2.132754174,1.419709515,0.410614904,0.344509298,0.429211348,0.330120809,0.746979775,0.366770734,0.328491923,0.398534003,0.161767701,0.184169439,1.612382051,0.290679519,0.159799063,0.103183762,0.163804222,0.123209558,0.430995859,1.957233046,0.119883239,0.990224696,0.103183762,1.700563438,0
0.434940244,0.617429838,0.173626964,2.134013697,0.550960118,0.277964281,0.507989795,2.013696791,1.35987646,0.398549752,0.329125822,0.408755203,0.313414798,0.691956493,0.35155096,0.312206258,0.393447026,0.16020025,0.185718259,1.645807259,0.309345015,0.164650257,0.104783757,0.167709637,0.136837714,0.481226533,2.009108608,0.119524406,0.997774997,0.104783757,1.839730218,0
0.447506385,0.62817583,0.176233365,2.14128243,0.566339562,0.26683694,0.521306627,1.968275306,1.447909665,0.391047184,0.327597795,0.404489851,0.296276381,0.674418605,0.347224089,0.303132141,0.382578304,0.162330317,0.186792986,1.634615385,0.332367081,0.175692873,0.106476244,0.174844457,0.130514706,0.478577489,2.003535068,0.120687217,0.920178167,0.106476244,1.816388575,0
0.428032684,0.573695789,0.184003771,2.012413576,0.509899434,0.277655563,0.485386549,2.01257071,1.364236329,0.405562539,0.345380264,0.427561282,0.333909491,0.757542426,0.360307982,0.329352608,0.465116279,0.145565999,0.177033102,1.773845525,0.266857376,0.147854516,0.097834083,0.15185942,0.115978749,0.415529219,1.861708214,0.117041275,1.028769922,0.097834083,1.528483858,0
0.416922604,0.564035627,0.179668305,2.007985258,0.501074939,0.256449631,0.478501229,1.85703317,1.316646192,0.375460688,0.328163391,0.407248157,0.322788698,0.695178133,0.338298526,0.298525799,0.44041769,0.147848101,0.174599156,1.795780591,0.288607595,0.152405063,0.099493671,0.158734177,0.119578059,0.451139241,1.969451477,0.116877637,0.943544304,0.099493671,1.652658228,0
0.386310905,0.538428074,0.167778422,1.861513921,0.476653132,0.242604408,0.458961717,1.822070766,1.252030162,0.351218097,0.309164733,0.378480278,0.294518561,0.636890951,0.312064965,0.279292343,0.421693735,0.150120856,0.167472376,1.805248619,0.294112569,0.158839779,0.105145028,0.160393646,0.123964088,0.455973757,1.958736188,0.11386395,0.94690953,0.105145028,1.834599448,0
0.380827447,0.499293643,0.188092836,1.717860747,0.455499495,0.283753784,0.44419778,1.783249243,1.248234107,0.380423814,0.373965691,0.433501514,0.394349142,0.742078708,0.358627649,0.336024218,0.505751766,0.14006295,0.175584532,1.926596223,0.24977518,0.145458633,0.09330036,0.150629496,0.117580935,0.410971223,1.818907374,0.13995054,0.970323741,0.09330036,1.516861511,0
0.366511251,0.513277924,0.193796878,1.724508413,0.461179809,0.271234543,0.449422258,1.756132171,1.231096696,0.418812082,0.34684776,0.428137036,0.352118386,0.693087371,0.341374417,0.323535374,0.513277924,0.144505369,0.173292209,1.902901531,0.275416952,0.144391135,0.094356865,0.149988577,0.125999543,0.429403701,1.861549006,0.126799178,0.940370117,0.094356865,1.613548092,0
0.364153907,0.499411072,0.204358068,1.672555948,0.447192776,0.26442874,0.443855516,1.690812721,1.20691009,0.368080094,0.333922261,0.408912446,0.33451119,0.666274048,0.330977621,0.319199058,0.501570475,0.142299503,0.180151408,2.001656021,0.287319612,0.159451147,0.098414952,0.160752307,0.127986752,0.455050863,1.913532056,0.124201561,0.911521173,0.098414952,1.722971374,0
0.364873351,0.482101737,0.188821436,1.508687461,0.471844254,0.256018422,0.417416789,1.737701486,1.149047519,0.366338706,0.322378062,0.426418254,0.37366548,0.690391459,0.32593678,0.332426209,0.464098807,0.12679558,0.167403315,1.904005525,0.244889503,0.137845304,0.097651934,0.15,0.117403315,0.395441989,1.760635359,0.160773481,0.997237569,0.097651934,1.426933702,0
0.381910612,0.485914001,0.188519381,1.50900233,0.463249312,0.262868036,0.41897903,1.686083457,1.137894514,0.367295065,0.339970345,0.427028172,0.370684177,0.68904893,0.329379369,0.321965685,0.462825673,0.134298973,0.170862045,1.972577697,0.254957109,0.136408381,0.094642104,0.154408663,0.117283083,0.415412741,1.792434257,0.131345802,0.980874701,0.094642104,1.500070314,0
0.37440953,0.46231259,0.185459026,1.444239063,0.426987061,0.279523516,0.410556582,1.655781475,1.125898542,0.356541384,0.326966523,0.387348532,0.358595194,0.657013761,0.30971452,0.336414048,0.458410351,0.12277937,0.161031519,1.959455587,0.269770774,0.14269341,0.099140401,0.151862464,0.119054441,0.434527221,1.764756447,0.125501433,0.942406877,0.099140401,1.613896848,0
0.743117916,0.862652731,0.185337848,2.277491535,1.081554541,0.29942588,0.790961284,1.711026056,1.463712645,0.421610481,0.387163256,0.517297218,0.373767113,0.872368615,0.523332843,0.407478286,0.225084646,0.201228184,0.191338074,0.94272786,0.294117647,0.115901745,0.138655462,0.157918552,0.182546865,0.355074337,1.68332256,0.137879767,1.177892696,0.138655462,1.297220427,0
